video,frame,x_min,y_min,x_max,y_max
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,120,1625,2,1673,88
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,121,771,710,878,764
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,121,1623,7,1673,107
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,122,1623,15,1672,119
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,122,819,707,924,760
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,123,861,691,970,756
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,123,1618,18,1674,126
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,124,903,671,1014,745
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,124,1619,27,1673,130
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,125,942,647,1050,731
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,125,1619,36,1671,132
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,126,977,616,1086,711
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,126,1613,32,1674,140
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,127,1012,583,1111,682
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,127,1617,35,1673,140
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,128,1042,548,1136,651
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,128,1613,42,1676,154
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,129,1069,513,1159,620
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,129,1610,48,1676,159
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,130,1095,480,1187,588
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,130,1608,55,1673,163
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,130,1,374,55,434
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,131,1123,448,1216,555
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,131,1608,55,1675,165
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,131,1,373,68,438
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,132,1153,421,1245,521
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,132,1608,57,1677,168
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,132,1,375,76,436
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,133,1181,394,1279,492
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,133,1606,66,1672,175
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,133,1,372,94,433
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,134,1215,374,1314,466
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,134,1602,74,1670,182
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,134,2,377,105,438
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,135,1251,354,1361,439
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,135,1,376,124,441
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,135,1597,85,1671,191
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,136,1288,344,1396,414
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,136,1585,90,1664,209
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,136,7,383,141,446
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,137,1575,106,1654,224
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,137,1335,330,1440,401
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,137,41,388,163,445
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,138,63,385,188,454
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,138,1556,121,1645,238
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,138,1380,317,1486,390
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,139,1535,151,1628,249
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,139,89,394,210,457
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,139,1425,306,1532,376
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,140,1515,171,1610,252
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,140,1474,297,1580,364
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,140,118,398,242,462
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,141,1482,181,1587,263
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,141,1521,288,1627,355
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,141,145,405,277,475
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,141,1,351,47,409
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,142,1456,188,1562,264
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,142,1571,278,1676,345
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,142,188,420,306,489
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,142,1,354,68,419
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,143,1428,203,1531,263
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,143,1,357,94,423
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,143,228,433,343,501
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,143,1620,272,1726,334
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,144,1395,206,1503,263
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,144,1670,265,1778,327
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,144,6,359,122,434
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,144,251,437,380,522
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,145,36,369,154,443
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,145,1722,258,1829,321
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,145,1366,209,1469,261
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,145,290,449,415,534
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,0,37,620,111,656
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,0,1126,827,1185,879
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,0,772,805,837,867
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,1,808,835,876,894
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,1,1155,803,1211,855
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,1,91,628,165,662
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,1,807,1,841,39
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,2,145,634,218,671
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,2,1181,778,1236,832
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,2,849,858,921,912
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,2,797,2,839,87
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,3,894,876,971,922
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,3,197,641,270,680
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,3,1205,751,1257,804
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,3,788,41,829,126
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,4,248,651,321,689
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,4,943,886,1018,925
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,4,1227,721,1275,777
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,4,769,90,809,161
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,5,297,661,370,700
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,5,1246,686,1290,745
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,5,992,885,1067,924
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,5,747,122,798,207
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,6,1044,873,1116,915
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,6,345,670,418,712
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,6,1260,652,1300,712
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,6,722,169,775,244
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,7,1094,855,1168,904
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,7,391,685,464,726
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,7,1271,615,1306,675
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,7,695,208,753,282
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,8,1144,832,1219,885
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,8,1276,578,1308,639
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,8,438,698,509,742
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,8,667,249,727,318
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,9,1196,807,1270,863
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,9,1277,539,1307,601
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,9,483,715,552,760
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,9,633,285,696,354
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,10,1253,782,1325,837
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,10,1272,502,1304,563
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,10,524,732,594,777
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,10,595,320,662,387
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,11,1310,758,1384,807
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,11,554,355,625,416
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,11,1262,465,1298,525
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,11,566,754,626,794
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,12,1371,738,1443,785
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,12,510,385,582,440
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,12,605,770,671,819
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,12,1245,428,1286,487
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,13,1436,719,1511,765
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,13,639,788,711,839
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,13,463,410,536,463
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,13,1227,393,1270,450
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,14,681,807,748,856
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,14,411,429,489,480
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,14,1506,706,1579,748
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,14,1205,363,1251,418
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,15,717,826,788,875
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,15,359,446,437,489
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,15,1577,697,1653,735
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,15,1179,334,1229,386
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,16,756,843,826,888
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,16,307,459,381,497
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,16,1654,693,1730,730
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,16,1151,307,1203,358
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,17,250,465,325,499
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,17,795,856,867,901
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,17,1118,285,1176,335
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,17,1734,693,1808,729
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,18,1083,267,1143,314
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,18,193,465,268,499
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,18,1818,696,1892,734
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,18,834,868,904,907
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,19,134,462,213,499
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,19,1046,254,1109,296
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,19,874,874,944,910
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,20,74,458,148,493
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,20,1010,245,1072,284
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,20,913,875,983,910
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,21,12,453,91,489
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,21,971,242,1032,275
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,21,953,870,1020,907
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,22,931,243,993,275
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,22,990,861,1060,900
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,23,1028,847,1096,891
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,23,891,246,953,282
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,24,1063,831,1132,879
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,24,852,255,914,294
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,25,814,267,876,311
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,25,1098,810,1166,863
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,26,1132,785,1197,841
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,26,780,285,840,333
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,27,748,306,806,356
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,27,1164,760,1225,817
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,28,1192,732,1250,787
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,28,718,332,773,382
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,29,1221,699,1273,760
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,29,693,360,745,414
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,30,1240,663,1291,727
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,30,675,393,720,449
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,31,1258,627,1303,692
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,31,660,427,701,486
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,32,1272,591,1311,656
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,32,648,464,687,524
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,33,1282,553,1315,617
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,33,645,500,677,561
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,34,1284,515,1316,580
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,34,644,537,674,598
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,35,1279,477,1313,543
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,35,646,574,679,636
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,36,1270,441,1309,505
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,36,650,610,686,672
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,37,1254,405,1298,470
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,37,659,645,700,707
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,38,1238,372,1283,435
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,38,673,682,717,740
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,39,692,716,740,774
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,39,1217,340,1264,401
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,39,806,1,837,62
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,40,1195,309,1246,368
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,40,712,750,764,807
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,40,797,37,830,100
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,41,1170,277,1224,335
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,41,739,783,788,839
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,41,787,75,822,138
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,42,1145,245,1199,303
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,42,774,114,811,174
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,42,765,820,812,875
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,43,787,857,836,915
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,43,1119,213,1173,271
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,43,757,151,796,206
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,44,1097,180,1147,239
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,44,810,897,855,956
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,44,735,189,780,249
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,45,830,940,875,1000
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,45,710,225,758,284
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,45,1070,147,1123,204
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,46,681,257,733,316
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,46,849,988,891,1048
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,46,1045,114,1095,168
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,47,648,291,703,347
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,47,865,1038,901,1079
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,47,1027,73,1072,128
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,48,613,322,670,375
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,48,1007,34,1050,91
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,49,573,351,633,402
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,49,982,1,1030,54
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,50,533,376,592,424
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,51,487,400,551,445
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,52,441,421,502,463
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,53,390,438,454,477
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,54,340,449,404,489
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,55,286,460,351,495
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,56,232,465,298,498
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,57,177,467,243,499
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,58,119,465,187,498
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,59,61,461,129,495
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,60,2,456,69,490
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,75,796,1,832,31
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,76,790,21,823,87
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,77,777,82,812,148
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,78,762,142,796,205
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,79,741,199,781,262
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,80,717,255,759,318
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,81,693,312,737,372
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,82,676,365,717,429
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,83,661,425,697,487
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,83,1,621,48,654
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,83,802,1,837,44
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,84,655,483,688,546
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,84,38,625,107,661
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,84,791,21,830,88
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,85,94,633,165,670
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,85,654,541,685,602
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,85,779,69,820,134
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,86,150,641,218,678
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,86,658,597,693,660
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,86,1853,648,1917,682
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,86,766,121,811,184
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,87,202,651,269,688
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,87,668,651,709,714
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,87,747,166,790,230
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,87,1807,639,1888,677
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,88,249,659,317,695
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,88,686,705,732,767
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,88,726,215,770,276
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,88,1761,629,1829,666
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,89,292,667,359,705
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,89,710,758,759,820
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,89,707,260,747,321
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,89,1711,620,1788,658
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,90,740,810,790,868
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,90,332,676,400,713
videos/dd107f0a-6eba-435a-a8eb-1379441379ab.mp4,90,1869,650,1919,681
